model,model_display,fold,subgroup,n,AUC,F1,Sensitivity,Precision,MCC
light_amformer,Lightweight AMFormer,5,Overall,182,0.8819526627218934,0.6422018348623854,0.6730769230769231,0.6140350877192983,0.49077096526880765
light_amformer,Lightweight AMFormer,5,Hemorrhage,87,0.8683870967741936,0.5714285714285714,0.56,0.5833333333333334,0.40368882785985455
light_amformer,Lightweight AMFormer,5,Tumor,70,0.8564814814814815,0.5789473684210527,0.6875,0.5,0.4376102153941152
light_amformer,Lightweight AMFormer,5,TBI,28,0.9545454545454545,0.7142857142857143,0.8333333333333334,0.625,0.6330541649476573
pga_amformer,PGA-AMFormer,1,Overall,184,0.963560420567478,0.7310344827586207,1.0,0.5760869565217391,0.6360661543202529
pga_amformer,PGA-AMFormer,1,Hemorrhage,82,0.942741935483871,0.7017543859649122,1.0,0.5405405405405406,0.6263607679944925
pga_amformer,PGA-AMFormer,1,Tumor,63,0.937037037037037,0.6545454545454545,1.0,0.4864864864864865,0.5301708036860207
pga_amformer,PGA-AMFormer,1,TBI,35,0.98,0.8,1.0,0.6666666666666666,0.7302967433402214
pga_amformer,PGA-AMFormer,2,Overall,183,0.9211901306240929,0.6986301369863014,0.9622641509433962,0.5483870967741935,0.5799291918549929
pga_amformer,PGA-AMFormer,2,Hemorrhage,83,0.8990112994350282,0.6470588235294118,0.9166666666666666,0.5,0.4939698666677156
pga_amformer,PGA-AMFormer,2,Tumor,59,0.9500000000000001,0.7307692307692307,1.0,0.5757575757575758,0.6117535649609442
pga_amformer,PGA-AMFormer,2,TBI,30,0.968,0.5882352941176471,1.0,0.4166666666666667,0.5477225575051661
pga_amformer,PGA-AMFormer,3,Overall,183,0.8866473149492018,0.684931506849315,0.9433962264150944,0.5376344086021505,0.5558313167166042
pga_amformer,PGA-AMFormer,3,Hemorrhage,86,0.8987179487179487,0.6857142857142857,0.9230769230769231,0.5454545454545454,0.5418443444341683
pga_amformer,PGA-AMFormer,3,Tumor,52,0.8523809523809524,0.6,0.9,0.45,0.5169162223730079
pga_amformer,PGA-AMFormer,3,TBI,43,0.9005376344086021,0.75,1.0,0.6,0.6672040844618539
pga_amformer,PGA-AMFormer,4,Overall,183,0.893033381712627,0.676056338028169,0.9056603773584906,0.5393258426966292,0.5356802458897015
pga_amformer,PGA-AMFormer,4,Hemorrhage,94,0.8876262626262625,0.5797101449275363,0.9090909090909091,0.425531914893617,0.45226701686664544
pga_amformer,PGA-AMFormer,4,Tumor,53,0.9054054054054054,0.7692307692307693,0.9375,0.6521739130434783,0.66810154534493
pga_amformer,PGA-AMFormer,4,TBI,32,0.9681818181818181,0.7407407407407407,1.0,0.5882352941176471,0.6333004963811235
pga_amformer,PGA-AMFormer,5,Overall,182,0.8948224852071005,0.684931506849315,0.9615384615384616,0.5319148936170213,0.5632610905191688
pga_amformer,PGA-AMFormer,5,Hemorrhage,87,0.9191919191919192,0.65625,1.0,0.4883720930232558,0.5705974021574557
pga_amformer,PGA-AMFormer,5,Tumor,70,0.8596491228070176,0.6538461538461539,0.8947368421052632,0.5151515151515151,0.5175933338385731
pga_amformer,PGA-AMFormer,5,TBI,28,0.9251336898395721,0.7857142857142857,1.0,0.6470588235294118,0.6470588235294118
